"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLECPUS","194913","83963.42","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195013","91870.77","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195113","105768.006","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195213","107071.241","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195313","115897.204","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195413","118384.671","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195513","143759.195","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195613","158278.996","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195713","160769.232","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195813","155724.17","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","195913","168423.221","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196013","176685.359","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196113","182185.128","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196213","193315.869","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196313","211332.494","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196413","225425.457","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196513","244788.119","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196613","266476.823","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196713","274184.533","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196813","297779.069","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","196913","310640.917","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197013","320181.708","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197113","327300.619","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197213","351767.778","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197301","34556.608","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197302","30896.808","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197303","30724.955","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197304","29170.498","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197305","29628.759","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197306","31901.675","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197307","34820.561","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197308","36045.285","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197309","32792.659","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197310","32443.211","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197311","32133.008","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197312","34097.576","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197313","389211.603","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197401","34546.945","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197402","30815.417","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197403","31593.743","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197404","29647.422","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197405","31676.372","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197406","31699.986","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197407","36088.579","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197408","35531.108","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197409","30958.435","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197410","32034.019","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197411","32119.598","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197412","35099.176","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197413","391810.8","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197501","35832.501","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197502","32091.315","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197503","32789.104","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197504","30543.039","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197505","30570.793","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197506","33450.798","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197507","36559.815","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197508","37961.932","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197509","32603.458","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197510","32847.755","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197511","33327.362","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197512","37384.56","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197513","405962.432","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197601","39980.648","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197602","34959.411","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197603","36092.888","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197604","33800.91","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197605","33939.843","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197606","36375.782","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197607","39835.088","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197608","40324.319","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197609","35890.319","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197610","36774.081","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197611","38829.559","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197612","41568.126","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197613","448370.974","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197701","43250.004","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197702","37660.088","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197703","37238.279","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197704","34038.909","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197705","37151.007","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197706","40139.032","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197707","44961.666","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197708","44157.685","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197709","40155.399","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197710","38367.183","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197711","38708.702","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197712","41298.009","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197713","477125.963","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197801","42708.646","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197802","35833.034","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197803","34004.532","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197804","34617.566","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197805","37199.423","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197806","40794.014","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197807","44118.329","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197808","46039.96","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197809","42646.081","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
"CLECPUS","197810","39852.851","1","Coal Consumption for Electricity Generation and Useful Thermal Output, All Sectors","Thousand Short Tons"
