"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLEPPUS","194913","83963.42","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195013","91870.77","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195113","105768.006","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195213","107071.241","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195313","115897.204","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195413","118384.671","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195513","143759.195","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195613","158278.996","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195713","160769.232","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195813","155724.17","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","195913","168423.221","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196013","176685.359","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196113","182185.128","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196213","193315.869","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196313","211332.494","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196413","225425.457","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196513","244788.119","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196613","266476.823","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196713","274184.533","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196813","297779.069","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","196913","310640.917","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197013","320181.708","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197113","327300.619","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197213","351767.778","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197301","34556.608","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197302","30896.808","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197303","30724.955","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197304","29170.498","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197305","29628.759","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197306","31901.675","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197307","34820.561","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197308","36045.285","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197309","32792.659","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197310","32443.211","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197311","32133.008","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197312","34097.576","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197313","389211.603","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197401","34546.945","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197402","30815.417","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197403","31593.743","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197404","29647.422","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197405","31676.372","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197406","31699.986","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197407","36088.579","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197408","35531.108","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197409","30958.435","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197410","32034.019","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197411","32119.598","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197412","35099.176","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197413","391810.8","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197501","35832.501","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197502","32091.315","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197503","32789.104","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197504","30543.039","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197505","30570.793","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197506","33450.798","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197507","36559.815","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197508","37961.932","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197509","32603.458","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197510","32847.755","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197511","33327.362","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197512","37384.56","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197513","405962.432","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197601","39980.648","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197602","34959.411","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197603","36092.888","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197604","33800.91","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197605","33939.843","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197606","36375.782","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197607","39835.088","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197608","40324.319","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197609","35890.319","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197610","36774.081","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197611","38829.559","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197612","41568.126","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197613","448370.974","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197701","43250.004","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197702","37660.088","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197703","37238.279","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197704","34038.909","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197705","37151.007","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197706","40139.032","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197707","44961.666","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197708","44157.685","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197709","40155.399","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197710","38367.183","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197711","38708.702","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197712","41298.009","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197713","477125.963","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197801","42708.646","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197802","35833.034","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197803","34004.532","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197804","34617.566","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197805","37199.423","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197806","40794.014","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197807","44118.329","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197808","46039.96","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197809","42646.081","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197810","39852.851","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197811","39751.041","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197812","43669.35","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197813","481234.827","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197901","46901.502","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197902","41891.492","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197903","41781.257","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197904","38979.296","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197905","41531.803","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197906","44008.087","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197907","48216.408","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197908","48549.13","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197909","42167.414","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197910","42970.038","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197911","42979.923","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197912","47074.898","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","197913","527051.248","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198001","50370.541","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198002","47512.382","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198003","46684.915","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198004","40692.272","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198005","41463.635","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198006","45820.609","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198007","53655.139","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198008","53213.874","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198009","47913.317","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198010","45092.124","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198011","45697.927","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198012","51157","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198013","569273.735","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
"CLEPPUS","198101","54688.052","1","Coal Consumption for Electricity Generation, All Sectors","Thousand Short Tons"
