"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ZWCDPC1","194913","573","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195013","295","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195113","327","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195213","502","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195313","371","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195413","250","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195513","532","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195613","279","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195713","358","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195813","287","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","195913","463","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196013","318","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196113","419","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196213","226","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196313","328","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196413","270","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196513","310","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196613","380","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196713","377","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196813","361","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","196913","386","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197013","423","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197113","418","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197213","326","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197301","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197302","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197303","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197304","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197305","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197306","95","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197307","193","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197308","210","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197309","16","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197310","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197311","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197312","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197313","514","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197401","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197402","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197403","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197404","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197405","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197406","37","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197407","159","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197408","143","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197409","13","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197410","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197411","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197412","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197413","353","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197501","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197502","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197503","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197504","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197505","17","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197506","51","1","Cooling Degree-Days, New England","Number"
