"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ZWHDPC1","194913","6149","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195013","6794","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195113","6476","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195213","6501","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195313","5946","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195413","6587","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195513","6872","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195613","7009","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195713","6444","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195813","7231","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","195913","6631","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196013","6828","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196113","6872","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196213","7231","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196313","7048","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196413","6816","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196513","7029","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196613","6873","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196713","7202","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196813","7009","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","196913","6811","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197013","7022","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197113","6864","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197213","7164","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197301","1171","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197302","1108","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197303","773","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197304","536","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197305","340","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197306","31","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197307","3","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197308","6","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197309","151","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197310","439","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197311","745","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197312","977","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197313","6279","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197401","1191","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197402","1134","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197403","933","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197404","533","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197405","373","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197406","79","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197407","11","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197408","21","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197409","160","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197410","602","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197411","734","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197412","1039","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197413","6809","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197501","1123","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197502","1078","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197503","1001","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197504","713","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197505","192","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197506","63","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197507","3","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197508","23","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197509","206","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197510","397","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197511","606","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197512","1141","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197513","6547","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197601","1397","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197602","950","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197603","896","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197604","482","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197605","307","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197606","20","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197607","19","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197608","33","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197609","184","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197610","555","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197611","878","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197612","1316","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197613","7036","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197701","1497","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197702","1113","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197703","785","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197704","557","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197705","225","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197706","91","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197707","10","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197708","24","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197709","156","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197710","478","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197711","680","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197712","1171","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197713","6788","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197801","1316","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197802","1275","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197803","1048","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197804","650","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197805","281","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197806","65","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197807","15","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197808","20","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197809","229","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197810","509","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197811","772","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197812","1104","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197813","7282","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197901","1202","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197902","1326","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197903","820","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197904","606","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197905","218","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197906","72","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197907","3","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197908","31","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197909","158","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197910","477","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197911","615","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197912","1007","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","197913","6536","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198001","1205","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198002","1174","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198003","973","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198004","559","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198005","261","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198006","103","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198007","6","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198008","12","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198009","126","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198010","533","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198011","837","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198012","1281","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198013","7071","1","Heating Degree-Days, New England","Number"
"ZWHDPC1","198101","1512","1","Heating Degree-Days, New England","Number"
