"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLNFPUS","197301","294.463","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197302","270.315","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197303","299.218","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197304","290.644","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197305","302.737","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197306","292.591","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197307","299.518","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197308","296.972","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197309","286.002","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197310","296.56","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197311","291.243","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197312","302.85","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197313","3523.112","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197401","289.683","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197402","265.296","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197403","278.158","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197404","282.06","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197405","286.902","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197406","278.772","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197407","281.952","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197408","280.254","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197409","273.425","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197410","279.892","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197411","239.03","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197412","223.097","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197413","3258.523","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197501","272.366","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197502","262.226","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197503","293.834","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197504","276.86","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197505","271.4","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197506","260.814","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197507","247.517","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197508","244.769","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197509","234.48","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197510","248.409","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197511","241.872","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197512","250.489","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197513","3105.036","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197601","244.29","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197602","239.701","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197603","263.66","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197604","256.975","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197605","268.394","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197606","259.685","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197607","263.805","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197608","255.493","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197609","250.795","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197610","255.565","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197611","250.578","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197612","252.06","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197613","3061","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197701","235.605","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197702","230.138","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197703","259.598","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197704","250.463","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197705","257.69","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197706","250.977","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197707","246.024","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197708","226.726","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197709","215.94","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197710","232.816","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197711","222.361","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197712","223.681","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197713","2852.02","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197801","197.533","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197802","152.274","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197803","146.157","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197804","201.32","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197805","233.909","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197806","232.998","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197807","238.569","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197808","235.22","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197809","233.654","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197810","244.177","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197811","237.514","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197812","246.252","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197813","2599.577","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197901","241.102","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197902","218.231","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197903","251.072","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197904","240.369","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197905","246.49","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197906","237.144","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197907","238.72","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197908","235.201","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197909","232.159","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197910","234.724","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197911","224.975","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197912","235.567","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","197913","2835.753","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198001","248.413","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198002","235.52","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198003","251.94","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198004","244.808","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198005","240.105","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198006","208.716","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198007","192.139","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198008","191.159","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198009","187.868","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198010","200.134","1","Coal Non-Combustion Consumption","Thousand Short Tons"
