"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLIMBUS","194913","0.007875","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195013","0.009132","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195113","0.007986","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195213","0.007287","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195313","0.006462","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195413","0.005127","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195513","0.008425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195613","0.0089","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195713","0.0092","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195813","0.007777","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","195913","0.009451","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196013","0.006551","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196113","0.004125","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196213","0.006003","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196313","0.006802","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196413","0.007325","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196513","0.0046","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196613","0.00445","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196713","0.005675","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196813","0.0056","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","196913","0.002725","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197013","0.0009","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197113","0.002775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197213","0.001175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197301","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197302","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197303","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197304","0.0001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197305","0.00025","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197306","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197307","5.0E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197308","0.0002","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197309","0.0006","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197310","0.000975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197311","0.000375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197312","0.000375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197313","0.003175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197401","0.00275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197402","0.004175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197403","0.001075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197404","0.00285","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197405","0.0023","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197406","0.00175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197407","0.003","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197408","0.01225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197409","0.003225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197410","0.006625","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197411","0.008225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197412","0.003775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197413","0.052","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197501","0.002275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197502","0.00375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197503","0.00495","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197504","0.00165","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197505","0.0024","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197506","0.000925","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197507","7.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197508","0.003225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197509","0.00105","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197510","2.5E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197511","0.00095","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197512","0.002225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197513","0.0235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197601","0.002575","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197602","0.00285","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197603","0.001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197604","0.0033","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197605","0.00225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197606","0.0048","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197607","0.000975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197608","0.00225","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197609","0.001625","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197610","0.00235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197611","0.003725","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197612","0.002375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197613","0.030075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197701","0.003075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197702","0.001875","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197703","0.000775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197704","0.00425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197705","0.00235","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197706","0.0023","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197707","0.0028","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197708","0.0025","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197709","0.004375","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197710","0.00685","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197711","0.00425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197712","0.005775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197713","0.041175","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197801","0.003475","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197802","0.003975","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197803","0.005775","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197804","0.010425","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197805","0.008075","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197806","0.007275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197807","0.007825","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197808","0.005675","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197809","0.0049","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197810","0.009275","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197811","0.00245","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197812","0.0047","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197813","0.073825","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197901","0.00465","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197902","0.006311","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197903","0.003074","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197904","0.004028","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197905","0.002791","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197906","0.005224","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197907","0.002204","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197908","0.008001","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197909","0.00449","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197910","0.003792","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197911","0.003255","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197912","0.003654","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","197913","0.051474","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198001","0.003017","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198002","0.004834","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198003","0.002326","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198004","0.001581","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198005","0.005177","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198006","0.002601","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198007","0.000798","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198008","0.004142","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198009","5.7E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198010","0.003487","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198011","6.7E-5","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198012","0.001753","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198013","0.02984","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198101","0.000884","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198102","0.002602","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198103","0.001914","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198104","0.001564","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198105","0.002413","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198106","0.003462","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198107","0.000321","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198108","0.003762","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198109","0.001728","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198110","0.002349","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198111","0.001899","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198112","0.003184","1","Coal Imports","Quadrillion Btu"
"CLIMBUS","198113","0.026084","1","Coal Imports","Quadrillion Btu"
