"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TEAGBUS","197513","9.5","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","197613","9.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","197713","8.9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","197813","9.1","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","197913","9.2","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198013","8.6","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198113","7.9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198213","7.6","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198313","7.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198413","7.9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198513","8.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198613","6.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198713","7.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198813","7.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","198913","8.7","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199013","9.6","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199113","9.6","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199213","9.1","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199313","9.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199413","9.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199513","9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199613","9.1","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199713","7.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199813","7.9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","199913","7.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200013","7.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200113","7.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200213","7.2","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200313","7.7","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200413","7","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200513","7.5","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200613","6.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200713","6.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200813","6.5","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","200913","6.6","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201013","6.8","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201113","8.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201213","6.7","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201313","7.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201413","6.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201513","6.2","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201613","6.2","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201713","6.3","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201813","6.1","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","201913","5.9","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEAGBUS","202013","5.4","1","U.S. Department of Agriculture Consumption","Trillion Btu"
"TEDEBUS","197513","1360.2","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","197613","1183.3","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","197713","1192.3","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","197813","1157.8","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","197913","1175.8","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198013","1183.1","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198113","1239.5","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198213","1264.5","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198313","1248.3","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198413","1292.1","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198513","1250.6","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198613","1222.8","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198713","1280.5","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198813","1165.8","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","198913","1274.4","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199013","1241.7","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199113","1269.3","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199213","1104","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199313","1048.8","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199413","977","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199513","926","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199613","904.5","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199713","880","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199813","837.1","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","199913","810.7","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","200013","779.1","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","200113","787.2","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","200213","837.5","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","200313","895.1","2","U.S. Department of Defense Consumption","Trillion Btu"
"TEDEBUS","200413","960.7","2","U.S. Department of Defense Consumption","Trillion Btu"
